Cust_id,Active_Customer
F25767,0
F25768,1
F25769,0
F25770,0
F25771,1
F25772,0
F25773,0
F25774,0
F25775,0
F25776,0
F25777,1
F25778,1
F25779,1
F25780,1
F25781,0
F25782,1
F25783,0
F25784,0
F25785,1
F25786,0
F25787,0
F25788,1
F25789,0
F25790,1
F25791,0
F25792,0
F25793,1
F25794,0
F25795,1
F25796,1
F25797,1
F25798,0
F25799,1
F25800,1
F25801,0
F25802,0
F25803,0
F25804,0
F25805,0
F25806,0
F25807,1
F25808,0
F25809,0
F25810,1
F25811,1
F25812,0
F25813,1
F25814,0
F25815,1
F25816,0
F25817,0
F25818,1
F25819,0
F25820,0
F25821,1
F25822,0
F25823,1
F25824,0
F25825,1
F25826,1
F25827,0
F25828,1
F25829,0
F25830,0
F25831,0
F25832,1
F25833,1
F25834,0
F25835,0
F25836,0
F25837,0
F25838,1
F25839,0
F25840,0
F25841,1
F25842,0
F25843,0
F25844,0
F25845,1
F25846,0
F25847,1
F25848,1
F25849,0
F25850,0
F25851,1
F25852,1
F25853,0
F25854,0
F25855,1
F25856,1
F25857,0
F25858,0
F25859,1
F25860,1
F25861,0
F25862,0
F25863,0
F25864,1
F25865,1
F25866,1
F25867,0
F25868,0
F25869,1
F25870,0
F25871,0
F25872,0
F25873,1
F25874,0
F25875,0
F25876,0
F25877,0
F25878,1
F25879,0
F25880,0
F25881,0
F25882,0
F25883,1
F25884,0
F25885,1
F25886,1
F25887,0
F25888,0
F25889,0
F25890,1
F25891,1
F25892,0
F25893,1
F25894,0
F25895,0
F25896,1
F25897,0
F25898,1
F25899,0
F25900,0
F25901,0
F25902,1
F25903,0
F25904,1
F25905,1
F25906,0
F25907,1
F25908,1
F25909,1
F25910,1
F25911,0
F25912,1
F25913,0
F25914,1
F25915,0
F25916,1
F25917,0
F25918,0
F25919,0
F25920,1
F25921,1
F25922,1
F25923,1
F25924,1
F25925,0
F25926,1
F25927,0
F25928,0
F25929,1
F25930,1
F25931,1
F25932,0
F25933,1
F25934,1
F25935,1
F25936,1
F25937,1
F25938,1
F25939,1
F25940,0
F25941,0
F25942,0
F25943,1
F25944,0
F25945,1
F25946,1
F25947,0
F25948,1
F25949,0
F25950,1
F25951,1
F25952,0
F25953,1
F25954,0
F25955,1
F25956,1
F25957,0
F25958,1
F25959,1
F25960,0
F25961,1
F25962,1
F25963,0
F25964,0
F25965,1
F25966,1
F25967,1
F25968,0
F25969,0
F25970,1
F25971,1
F25972,0
F25973,0
F25974,0
F25975,1
F25976,0
F25977,0
F25978,1
F25979,1
F25980,0
F25981,1
F25982,0
F25983,1
F25984,1
F25985,0
F25986,0
F25987,0
F25988,1
F25989,0
F25990,1
F25991,0
F25992,0
F25993,1
F25994,0
F25995,1
F25996,1
F25997,0
F25998,1
F25999,1
F26000,0
F26001,1
F26002,1
F26003,1
F26004,0
F26005,1
F26006,1
F26007,1
F26008,1
F26009,1
F26010,1
F26011,0
F26012,1
F26013,1
F26014,0
F26015,1
F26016,0
F26017,0
F26018,1
F26019,0
F26020,1
F26021,0
F26022,0
F26023,1
F26024,0
F26025,0
F26026,0
F26027,1
F26028,0
F26029,1
F26030,0
F26031,1
F26032,1
F26033,0
F26034,0
F26035,0
F26036,1
F26037,0
F26038,1
F26039,0
F26040,1
F26041,0
F26042,1
F26043,1
F26044,1
F26045,0
F26046,0
F26047,0
F26048,1
F26049,1
F26050,0
F26051,0
F26052,0
F26053,0
F26054,1
F26055,1
F26056,1
F26057,0
F26058,0
F26059,0
F26060,1
F26061,1
F26062,1
F26063,0
F26064,1
F26065,1
F26066,0
F26067,1
F26068,1
F26069,1
F26070,1
F26071,0
F26072,1
F26073,1
F26074,0
F26075,0
F26076,0
F26077,1
F26078,1
F26079,0
F26080,0
F26081,1
F26082,0
F26083,1
F26084,0
F26085,0
F26086,0
F26087,1
F26088,0
F26089,1
F26090,0
F26091,0
F26092,1
F26093,1
F26094,0
F26095,1
F26096,1
F26097,0
F26098,1
F26099,1
F26100,0
F26101,1
F26102,0
F26103,1
F26104,0
F26105,0
F26106,0
F26107,1
F26108,0
F26109,1
F26110,1
F26111,0
F26112,1
F26113,0
F26114,1
F26115,0
F26116,1
F26117,0
F26118,0
F26119,0
F26120,1
F26121,0
F26122,0
F26123,0
F26124,1
F26125,1
F26126,1
F26127,0
F26128,0
F26129,0
F26130,0
F26131,0
F26132,0
F26133,0
F26134,1
F26135,0
F26136,0
F26137,1
F26138,1
F26139,0
F26140,1
F26141,1
F26142,0
F26143,1
F26144,0
F26145,0
F26146,1
F26147,0
F26148,0
F26149,0
F26150,0
F26151,0
F26152,0
F26153,1
F26154,0
F26155,0
F26156,1
F26157,1
F26158,0
F26159,0
F26160,1
F26161,0
F26162,0
F26163,0
F26164,0
F26165,1
F26166,1
F26167,0
F26168,1
F26169,0
F26170,0
F26171,1
F26172,0
F26173,0
F26174,1
F26175,1
F26176,0
F26177,1
F26178,0
F26179,1
F26180,1
F26181,0
F26182,0
F26183,1
F26184,1
F26185,0
F26186,1
F26187,1
F26188,1
F26189,1
F26190,0
F26191,1
F26192,0
F26193,1
F26194,0
F26195,0
F26196,0
F26197,0
F26198,1
F26199,1
F26200,1
F26201,1
F26202,1
F26203,1
F26204,1
F26205,1
F26206,0
F26207,1
F26208,0
F26209,1
F26210,1
F26211,0
F26212,1
F26213,0
F26214,0
F26215,0
F26216,1
F26217,0
F26218,0
F26219,1
F26220,1
F26221,0
F26222,1
F26223,1
F26224,0
F26225,1
F26226,0
F26227,1
F26228,1
F26229,1
F26230,0
F26231,0
F26232,0
F26233,0
F26234,0
F26235,1
F26236,1
F26237,0
F26238,0
F26239,0
F26240,1
F26241,1
F26242,0
F26243,0
F26244,1
F26245,1
F26246,1
F26247,0
F26248,1
F26249,1
F26250,0
F26251,1
F26252,1
F26253,1
F26254,1
F26255,0
F26256,0
F26257,0
F26258,0
F26259,1
F26260,1
F26261,0
F26262,0
F26263,1
F26264,1
F26265,0
F26266,0
F26267,1
F26268,1
F26269,0
F26270,0
F26271,1
F26272,1
F26273,0
F26274,1
F26275,1
F26276,1
F26277,0
F26278,0
F26279,0
F26280,0
F26281,0
F26282,0
F26283,1
F26284,0
F26285,0
F26286,0
F26287,1
F26288,1
F26289,0
F26290,0
F26291,1
F26292,0
F26293,1
F26294,1
F26295,0
F26296,0
F26297,0
F26298,0
F26299,0
F26300,0
F26301,1
F26302,1
F26303,1
F26304,1
F26305,0
F26306,1
F26307,0
F26308,0
F26309,0
F26310,0
F26311,1
F26312,0
F26313,0
F26314,1
F26315,1
F26316,1
F26317,0
F26318,0
F26319,1
F26320,0
F26321,0
F26322,0
F26323,0
F26324,0
F26325,1
F26326,0
F26327,1
F26328,0
F26329,0
F26330,0
F26331,0
F26332,0
F26333,1
F26334,0
F26335,1
F26336,0
F26337,1
F26338,1
F26339,1
F26340,1
F26341,0
F26342,0
F26343,0
F26344,1
F26345,1
F26346,0
F26347,0
F26348,0
F26349,0
F26350,0
F26351,1
F26352,0
F26353,0
F26354,0
F26355,0
F26356,0
F26357,0
F26358,0
F26359,1
F26360,1
F26361,1
F26362,1
F26363,0
F26364,1
F26365,1
F26366,1
F26367,0
F26368,0
F26369,1
F26370,0
F26371,0
F26372,1
F26373,1
F26374,1
F26375,1
F26376,1
F26377,0
F26378,0
F26379,1
F26380,0
F26381,1
F26382,1
F26383,1
F26384,0
F26385,1
F26386,1
F26387,1
F26388,1
F26389,1
F26390,0
F26391,0
F26392,1
F26393,0
F26394,1
F26395,1
F26396,0
F26397,1
F26398,0
F26399,0
F26400,0
F26401,0
F26402,0
F26403,0
F26404,1
F26405,1
F26406,0
F26407,1
F26408,1
F26409,1
F26410,1
F26411,0
F26412,0
F26413,0
F26414,0
F26415,0
F26416,0
F26417,0
F26418,0
F26419,1
F26420,1
F26421,1
F26422,0
F26423,1
F26424,0
F26425,0
F26426,0
F26427,1
F26428,0
F26429,0
F26430,0
F26431,1
F26432,1
F26433,0
F26434,1
F26435,0
F26436,1
F26437,1
F26438,1
F26439,0
F26440,1
F26441,0
F26442,0
F26443,0
F26444,0
F26445,1
F26446,0
F26447,0
F26448,0
F26449,1
F26450,1
F26451,0
F26452,1
F26453,1
F26454,1
F26455,1
F26456,0
F26457,0
F26458,0
F26459,1
F26460,0
F26461,1
F26462,1
F26463,0
F26464,1
F26465,1
F26466,0
F26467,1
F26468,0
F26469,0
F26470,1
F26471,0
F26472,0
F26473,1
F26474,1
F26475,1
F26476,1
F26477,1
F26478,0
F26479,0
F26480,0
F26481,1
F26482,0
F26483,1
F26484,0
F26485,1
F26486,0
F26487,0
F26488,0
F26489,0
F26490,1
F26491,0
F26492,1
F26493,1
F26494,1
F26495,0
F26496,1
F26497,1
F26498,1
F26499,1
F26500,1
F26501,1
F26502,0
F26503,0
F26504,1
F26505,1
F26506,0
F26507,0
F26508,1
F26509,1
F26510,1
F26511,1
F26512,1
F26513,1
F26514,0
F26515,1
F26516,0
F26517,1
F26518,0
F26519,0
F26520,1
F26521,0
F26522,0
F26523,1
F26524,0
F26525,1
F26526,0
F26527,0
F26528,0
F26529,0
F26530,1
F26531,0
F26532,0
F26533,1
F26534,0
F26535,0
F26536,0
F26537,1
F26538,1
F26539,0
F26540,0
F26541,0
F26542,0
F26543,0
F26544,0
F26545,0
F26546,0
F26547,0
F26548,1
F26549,1
F26550,0
F26551,0
F26552,0
F26553,1
F26554,1
F26555,0
F26556,1
F26557,0
F26558,0
F26559,1
F26560,1
F26561,0
F26562,0
F26563,0
F26564,0
F26565,0
F26566,1
F26567,0
F26568,0
F26569,0
F26570,0
F26571,1
F26572,1
F26573,1
F26574,1
F26575,1
F26576,0
F26577,1
F26578,0
F26579,0
F26580,1
F26581,1
F26582,0
F26583,1
F26584,1
F26585,0
F26586,1
F26587,1
F26588,0
F26589,1
F26590,0
F26591,0
F26592,1
F26593,0
F26594,0
F26595,0
F26596,0
F26597,1
F26598,0
F26599,1
F26600,1
F26601,0
F26602,1
F26603,0
F26604,1
F26605,0
F26606,0
F26607,0
F26608,1
F26609,1
F26610,1
F26611,0
F26612,0
F26613,0
F26614,0
F26615,1
F26616,1
F26617,1
F26618,0
F26619,1
F26620,1
F26621,1
F26622,1
F26623,0
F26624,0
F26625,0
F26626,0
F26627,0
F26628,1
F26629,0
F26630,0
F26631,0
F26632,1
F26633,0
F26634,0
F26635,1
F26636,1
F26637,0
F26638,1
F26639,1
F26640,0
F26641,1
F26642,0
F26643,1
F26644,0
F26645,1
F26646,1
F26647,0
F26648,1
F26649,1
F26650,0
F26651,1
F26652,0
F26653,0
F26654,0
F26655,0
F26656,1
F26657,0
F26658,0
F26659,0
F26660,1
F26661,0
F26662,1
F26663,0
F26664,0
F26665,1
F26666,1
F26667,1
F26668,1
F26669,0
F26670,0
F26671,1
F26672,1
F26673,1
F26674,0
F26675,1
F26676,1
F26677,0
F26678,1
F26679,0
F26680,0
F26681,0
F26682,1
F26683,1
F26684,0
F26685,0
F26686,1
F26687,1
F26688,0
F26689,1
F26690,1
F26691,1
F26692,0
F26693,1
F26694,0
F26695,1
F26696,0
F26697,1
F26698,0
F26699,1
F26700,0
F26701,0
F26702,0
F26703,0
F26704,1
F26705,0
F26706,0
F26707,1
F26708,1
F26709,0
F26710,0
F26711,1
F26712,0
F26713,1
F26714,1
F26715,0
F26716,1
F26717,0
F26718,1
F26719,0
F26720,1
F26721,0
F26722,0
F26723,1
F26724,1
F26725,1
F26726,1
F26727,1
F26728,1
F26729,0
F26730,1
F26731,0
F26732,1
F26733,0
F26734,0
F26735,0
F26736,1
F26737,1
F26738,1
F26739,1
F26740,0
F26741,0
F26742,0
F26743,1
F26744,0
F26745,1
F26746,0
F26747,1
F26748,1
F26749,0
F26750,0
F26751,1
F26752,1
F26753,1
F26754,1
F26755,0
F26756,0
F26757,0
F26758,0
F26759,0
F26760,0
F26761,0
F26762,0
F26763,0
F26764,1
F26765,0
F26766,1
F26767,1
F26768,1
F26769,1
F26770,0
F26771,1
F26772,0
F26773,0
F26774,0
F26775,0
F26776,1
F26777,1
F26778,0
F26779,0
F26780,1
F26781,1
F26782,0
F26783,0
F26784,1
F26785,0
F26786,0
F26787,0
F26788,1
F26789,1
F26790,1
F26791,1
F26792,0
F26793,1
F26794,1
F26795,1
