"Group.Name","University","Score","Attempts","Time"
"BENCH MARK","RANG-KVRA","0.663345",1,"3/30/2016 16:02"
"ZingZ","University of Texas at Dallas","0.506643",1,"2016-04-01 08:57:06"
"ZingZ","University of Texas at Dallas","0.655495",2,"2016-04-01 09:06:31"
"ZingZ","University of Texas at Dallas","0.629529",3,"2016-04-01 09:09:03"
"ZingZ","University of Texas at Dallas","0.621075",4,"2016-04-01 09:13:31"
"ZingZ","University of Texas at Dallas","0.607186",5,"2016-04-01 09:16:14"
"ZingZ","University of Texas at Dallas","0.657005",6,"2016-04-01 09:21:18"
"ZingZ","University of Texas at Dallas","0.644928",7,"2016-04-01 09:28:41"
"ZingZ","University of Texas at Dallas","0.6718",8,"2016-04-01 09:35:54"
"ZingZ","University of Texas at Dallas","0.658514",9,"2016-04-01 09:40:04"
"ZingZ","University of Texas at Dallas","0.671196",10,"2016-04-01 09:41:13"
"ZingZ","University of Texas at Dallas","0.663043",11,"2016-04-01 09:49:05"
"ZingZ","University of Texas at Dallas","0.676932",12,"2016-04-01 09:52:14"
"ZingZ","University of Texas at Dallas","0.661836",13,"2016-04-01 09:54:35"
"ZingZ","University of Texas at Dallas","0.674819",14,"2016-04-01 09:55:21"
"ZingZ","University of Texas at Dallas","0.669686",15,"2016-04-01 09:56:53"
"ZingZ","University of Texas at Dallas","0.67814",16,"2016-04-01 10:23:31"
"ZingZ","University of Texas at Dallas","0.67814",17,"2016-04-01 10:23:56"
"ZingZ","University of Texas at Dallas","0.677234",18,"2016-04-01 10:26:07"
"ZingZ","University of Texas at Dallas","0.675121",19,"2016-04-01 10:27:12"
"ZingZ","University of Texas at Dallas","0.677536",20,"2016-04-01 12:31:38"
"ZingZ","University of Texas at Dallas","0.663345",21,"2016-04-01 12:41:24"
"ZingZ","University of Texas at Dallas","0.680556",22,"2016-04-01 12:42:17"
"ZingZ","University of Texas at Dallas","0.666969",23,"2016-04-01 12:59:34"
"ZingZ","University of Texas at Dallas","0.678744",24,"2016-04-01 13:00:00"
"Group 3","university of colorado denver","0.670592",1,"2016-04-03 23:31:53"
"ZingZ","University of Texas at Dallas","0.644324",25,"2016-04-04 09:08:26"
"ZingZ","University of Texas at Dallas","0.66093",26,"2016-04-04 09:15:27"
"ZingZ","University of Texas at Dallas","0.668478",27,"2016-04-04 09:21:33"
"ZingZ","University of Texas at Dallas","0.674517",28,"2016-04-04 09:31:33"
"ZingZ","University of Texas at Dallas","0.677234",29,"2016-04-04 09:32:38"
"ZingZ","University of Texas at Dallas","0.659722",30,"2016-04-04 09:37:18"
"ZingZ","University of Texas at Dallas","0.67029",31,"2016-04-04 09:41:16"
"ZingZ","University of Texas at Dallas","0.672403",32,"2016-04-04 09:56:17"
"ZingZ","University of Texas at Dallas","0.663043",33,"2016-04-04 22:40:05"
"Group 3","university of colorado denver","0.5",2,"2016-04-05 04:05:00"
"Group 3","university of colorado denver","0.495013",3,"2016-04-05 04:17:10"
"Group 3","university of colorado denver","0.673913",4,"2016-04-05 13:15:12"
"ZK7","University of Texas at Dallas","0.679348",1,"2016-04-05 15:02:05"
"ZK7","University of Texas at Dallas","0.679952",2,"2016-04-05 15:15:37"
"ZK7","University of Texas at Dallas","0.672403",3,"2016-04-05 15:35:39"
"ZK7","University of Texas at Dallas","0.672403",4,"2016-04-05 15:50:45"
"ZK7","University of Texas at Dallas","0.680254",5,"2016-04-05 15:51:34"
"ZK7","University of Texas at Dallas","0.677536",6,"2016-04-05 16:34:21"
"ZK7","University of Texas at Dallas","0.675423",7,"2016-04-05 16:41:15"
"ZK7","University of Texas at Dallas","0.661534",8,"2016-04-05 16:52:21"
"ZK7","University of Texas at Dallas","0.664553",9,"2016-04-05 16:53:36"
"ZingZ","University of Texas at Dallas","0.675423",34,"2016-04-06 09:55:56"
"yellow42","University of Maryland, College Park","0.667572",1,"2016-04-06 19:20:50"
"yellow42","University of Maryland, College Park","0.506643",2,"2016-04-06 19:26:20"
"yellow42","University of Maryland, College Park","0.670894",3,"2016-04-06 20:26:52"
"yellow42","University of Maryland, College Park","0.66878",4,"2016-04-06 21:00:09"
"saiGaddam","drexel","0.506643",1,"2016-04-07 00:02:22"
